var_id,level,ref_id
9275,1,8003
9276,1,8003
9277,1,8003
9278,1,8003
9279,1,8003
9280,1,8003
9281,1,8003
9282,1,8003
9283,1,8003
9284,1,8003
9285,1,8003
9286,1,8003
9287,1,8003
9288,1,8003
9289,1,8003
9290,1,8003
9291,1,8003
9292,1,8003
9293,1,8003
9294,1,8003
9295,1,8003
9296,1,8003
9297,1,8003
9298,1,8003
9299,1,8003
9300,1,8003
9301,1,8003
9302,1,8003
9303,1,8003
9304,1,8003
9305,1,8003
9306,1,8003
9307,1,8003
9308,1,8003
9309,1,8003
9003,1,9002
9004,1,9002
9005,1,9002
9006,1,9002
9007,1,9002
9009,1,9008
9010,1,9008
9011,1,9008
9012,1,9008
9013,1,9008
9015,1,9014
9016,1,9014
9017,1,9014
9018,1,9014
9019,1,9014
9020,1,9014
9022,1,9021
9023,1,9021
9024,1,9021
9025,1,9021
9027,1,9026
9028,1,9026
9029,1,9026
9030,1,9026
9031,1,9026
9033,1,9032
9034,1,9032
9035,1,9032
9036,1,9032
9037,1,9032
9038,1,9032
9039,1,9032
9040,1,9032
9041,1,9032
9042,1,9032
9044,1,9043
9045,1,9043
9046,1,9043
9047,1,9043
9048,1,9043
9049,1,9043
9050,1,9043
9051,1,9043
9052,1,9043
9053,1,9043
9054,1,9043
9055,1,9043
9056,1,9043
9057,1,9043
9058,1,9043
9060,1,9059
9061,1,9059
9062,1,9059
9063,1,9059
9064,1,9059
9065,1,9059
9066,1,9059
9067,1,9059
9068,1,9059
9069,1,9059
9070,1,9059
9071,1,9059
9072,1,9059
9073,1,9059
9074,1,9059
9076,1,9075
9077,1,9075
9078,1,9075
9079,1,9075
9080,1,9075
9081,1,9075
9082,1,9075
9083,1,9075
9084,1,9075
9085,1,9075
9087,1,9086
9088,1,9086
9089,1,9086
9090,1,9086
9091,1,9086
9092,1,9086
9093,1,9086
9094,1,9086
9095,1,9086
9096,1,9086
9098,1,9097
9099,1,9097
9100,1,9097
9101,1,9097
9102,1,9097
9103,1,9097
9106,2,9105
9107,2,9105
9108,2,9105
9109,2,9105
9110,2,9105
9112,2,9111
9113,2,9111
9114,2,9111
9115,2,9111
9116,2,9111
9118,2,9117
9119,2,9117
9120,2,9117
9121,2,9117
9122,2,9117
9123,2,9117
9125,2,9124
9126,2,9124
9127,2,9124
9128,2,9124
9130,2,9129
9131,2,9129
9132,2,9129
9133,2,9129
9134,2,9129
9136,2,9135
9137,2,9135
9138,2,9135
9139,2,9135
9140,2,9135
9141,2,9135
9142,2,9135
9143,2,9135
9144,2,9135
9145,2,9135
9147,2,9146
9148,2,9146
9149,2,9146
9150,2,9146
9151,2,9146
9152,2,9146
9153,2,9146
9154,2,9146
9155,2,9146
9156,2,9146
9157,2,9146
9158,2,9146
9159,2,9146
9160,2,9146
9161,2,9146
9163,2,9162
9164,2,9162
9165,2,9162
9166,2,9162
9167,2,9162
9168,2,9162
9169,2,9162
9170,2,9162
9171,2,9162
9172,2,9162
9173,2,9162
9174,2,9162
9175,2,9162
9176,2,9162
9177,2,9162
9179,2,9178
9180,2,9178
9181,2,9178
9182,2,9178
9183,2,9178
9184,2,9178
9185,2,9178
9186,2,9178
9187,2,9178
9188,2,9178
9190,2,9189
9191,2,9189
9192,2,9189
9193,2,9189
9194,2,9189
9195,2,9189
9196,2,9189
9197,2,9189
9198,2,9189
9199,2,9189
9201,2,9200
9202,2,9200
9203,2,9200
9204,2,9200
9205,2,9200
9206,2,9200
9209,2,9208
9210,2,9208
9211,2,9208
9212,2,9208
9213,2,9208
9215,2,9214
9216,2,9214
9217,2,9214
9218,2,9214
9219,2,9214
9221,2,9220
9222,2,9220
9223,2,9220
9224,2,9220
9225,2,9220
9226,2,9220
9228,2,9227
9229,2,9227
9230,2,9227
9231,2,9227
9233,2,9232
9234,2,9232
9235,2,9232
9236,2,9232
9237,2,9232
9239,2,9238
9240,2,9238
9241,2,9238
9242,2,9238
9243,2,9238
9244,2,9238
9245,2,9238
9246,2,9238
9247,2,9238
9248,2,9238
9250,2,9249
9251,2,9249
9252,2,9249
9253,2,9249
9254,2,9249
9255,2,9249
9256,2,9249
9257,2,9249
9258,2,9249
9259,2,9249
9260,2,9249
9261,2,9249
9262,2,9249
9263,2,9249
9264,2,9249
9266,2,9265
9267,2,9265
9268,2,9265
9269,2,9265
9270,2,9265
9271,2,9265
9272,2,9265
9273,2,9265
9274,2,9265
9275,2,9265
9276,2,9265
9277,2,9265
9278,2,9265
9279,2,9265
9280,2,9265
9282,2,9281
9283,2,9281
9284,2,9281
9285,2,9281
9286,2,9281
9287,2,9281
9288,2,9281
9289,2,9281
9290,2,9281
9291,2,9281
9293,2,9292
9294,2,9292
9295,2,9292
9296,2,9292
9297,2,9292
9298,2,9292
9299,2,9292
9300,2,9292
9301,2,9292
9302,2,9292
9304,2,9303
9305,2,9303
9306,2,9303
9307,2,9303
9308,2,9303
9309,2,9303
10002,0,10001
10003,0,10001
10004,0,10001
10005,0,10001
10006,0,10001
10007,0,10001
10008,0,10001
10009,0,10001
10010,0,10001
10011,0,10001
10012,0,10001
10013,0,10001
10014,0,10001
10015,0,10001
10003,1,10002
10004,1,10002
10005,1,10002
10006,1,10002
10007,1,10002
10008,1,10002
10009,1,10002
10004,2,10003
10005,2,10003
10008,2,10007
10009,2,10007
10011,1,10010
10012,1,10010
10013,1,10010
10014,1,10010
10015,1,10010
12003,1,12002
12004,1,12002
12005,1,12002
12006,1,12002
12007,1,12002
12008,1,12002
12009,1,12002
12010,1,12002
12011,1,12002
12012,1,12002
12013,1,12002
12014,1,12002
12015,1,12002
12016,1,12002
12017,1,12002
12018,1,12002
12019,1,12002
12020,1,12002
12021,1,12002
12022,1,12002
12023,1,12002
12024,1,12002
12025,1,12002
12026,1,12002
12027,1,12002
12028,1,12002
12029,1,12002
12004,2,12003
12005,2,12003
12006,2,12003
12007,2,12003
12008,2,12003
12009,2,12003
12011,2,12010
12012,2,12010
12013,2,12010
12014,2,12010
12015,2,12010
12016,2,12010
12017,2,12010
12018,2,12010
12019,2,12010
12020,2,12010
12021,2,12010
12022,2,12010
12023,2,12010
12024,2,12010
12025,2,12010
12026,2,12010
12027,2,12010
12028,2,12010
12029,2,12010
12012,3,12011
12013,3,12011
12014,3,12011
12015,3,12011
12016,3,12011
12017,3,12011
12018,3,12011
12019,3,12011
12020,3,12011
12021,3,12011
12022,3,12011
12023,3,12011
12024,3,12011
12025,3,12011
12026,3,12011
12028,3,12027
12029,3,12027
12031,1,12030
12032,1,12030
12033,1,12030
12034,1,12030
12035,1,12030
12036,1,12030
12037,1,12030
12038,1,12030
12039,1,12030
12040,1,12030
12041,1,12030
12042,1,12030
12033,2,12032
12034,2,12032
12035,2,12032
12037,2,12036
12038,2,12036
12039,2,12036
12040,2,12036
12041,2,12036
12044,1,12043
12045,1,12043
12046,1,12043
12047,1,12043
12048,1,12043
12049,1,12043
12050,1,12043
12051,1,12043
12052,1,12043
12053,1,12043
12054,1,12043
12055,1,12043
12056,1,12043
12057,1,12043
12058,1,12043
12059,1,12043
12060,1,12043
12061,1,12043
12062,1,12043
12063,1,12043
12064,1,12043
12045,2,12044
12046,2,12044
12047,2,12044
12049,2,12048
12050,2,12048
12051,2,12048
12053,2,12052
12054,2,12052
12055,2,12052
12056,2,12052
12057,2,12052
12058,2,12052
12060,2,12059
12061,2,12059
12062,2,12059
12063,2,12059
12066,1,12065
12067,1,12065
12068,1,12065
12069,1,12065
12070,1,12065
12071,1,12065
12072,1,12065
12073,1,12065
12074,1,12065
12075,1,12065
12076,1,12065
12067,2,12066
12068,2,12066
12069,2,12066
12071,2,12070
12073,2,12072
12075,2,12074
12076,2,12074
12078,1,12077
12079,1,12077
12080,1,12077
12081,1,12077
12082,1,12077
12079,2,12078
12080,2,12078
12081,2,12078
24002,0,24001
24003,0,24001
24004,0,24001
24005,0,24001
24006,0,24001
24007,0,24001
24008,0,24001
24009,0,24001
24010,0,24001
24011,0,24001
24012,0,24001
24013,0,24001
24014,0,24001
24015,0,24001
24016,0,24001
24017,0,24001
24018,0,24001
24019,0,24001
24020,0,24001
24021,0,24001
24022,0,24001
24023,0,24001
24024,0,24001
24025,0,24001
24026,0,24001
24027,0,24001
24028,0,24001
24029,0,24001
24030,0,24001
24031,0,24001
24032,0,24001
24033,0,24001
24034,0,24001
24035,0,24001
24036,0,24001
24037,0,24001
24038,0,24001
24039,0,24001
24040,0,24001
24041,0,24001
24042,0,24001
24043,0,24001
24044,0,24001
24045,0,24001
24046,0,24001
24047,0,24001
24048,0,24001
24049,0,24001
24050,0,24001
24051,0,24001
24052,0,24001
24053,0,24001
24054,0,24001
24055,0,24001
24056,0,24001
24057,0,24001
24058,0,24001
24059,0,24001
24060,0,24001
24061,0,24001
24062,0,24001
24063,0,24001
24064,0,24001
24065,0,24001
24066,0,24001
24067,0,24001
24068,0,24001
24069,0,24001
24070,0,24001
24071,0,24001
24072,0,24001
24073,0,24001
24074,0,24001
24075,0,24001
24076,0,24001
24077,0,24001
24078,0,24001
24079,0,24001
24080,0,24001
24081,0,24001
24082,0,24001
24083,0,24001
24084,0,24001
24085,0,24001
24086,0,24001
24087,0,24001
24088,0,24001
24089,0,24001
24090,0,24001
24091,0,24001
24092,0,24001
24093,0,24001
24094,0,24001
24095,0,24001
24096,0,24001
24097,0,24001
24098,0,24001
24099,0,24001
24100,0,24001
24101,0,24001
24102,0,24001
24103,0,24001
24104,0,24001
24105,0,24001
24106,0,24001
29002,0,24001
29003,0,24001
29004,0,24001
29005,0,24001
29006,0,24001
29007,0,24001
24005,1,24004
24006,1,24004
24007,1,24004
24008,1,24004
24009,1,24004
24010,1,24004
24011,1,24004
24012,1,24004
24013,1,24004
24018,1,24017
24019,1,24017
24020,1,24017
24021,1,24017
24022,1,24017
24023,1,24017
24024,1,24017
24025,1,24017
24026,1,24017
24027,1,24017
24028,1,24017
24029,1,24017
24030,1,24017
24031,1,24017
24032,1,24017
24033,1,24017
24034,1,24017
24035,1,24017
24036,1,24017
24038,1,24037
24039,1,24037
24040,1,24037
24041,1,24037
24045,1,24044
24046,1,24044
24051,1,24050
24052,1,24050
24053,1,24050
24054,1,24050
24055,1,24050
24057,1,24056
24058,1,24056
24059,1,24056
24060,1,24056
24061,1,24056
24062,1,24056
24063,1,24056
24064,1,24056
24065,1,24056
24066,1,24056
24067,1,24056
24068,1,24056
24069,1,24056
24071,1,24070
24072,1,24070
24073,1,24070
24074,1,24070
24075,1,24070
24076,1,24070
24077,1,24070
24078,1,24070
24079,1,24070
24080,1,24070
24084,1,24083
24085,1,24083
24087,1,24086
24088,1,24086
24089,1,24086
24090,1,24086
24091,1,24086
24092,1,24086
24093,1,24086
24094,1,24086
24095,1,24086
24096,1,24086
24097,1,24086
24098,1,24086
24099,1,24086
24100,1,24086
24101,1,24086
24103,1,24102
24104,1,24102
24105,1,24102
28003,1,28002
28004,1,28002
28005,1,28002
28006,1,28002
28007,1,28002
28008,1,28002
28009,1,28002
28010,1,28002
28011,1,28002
28012,1,28002
28013,1,28002
28014,1,28002
28015,1,28002
28017,1,28016
28018,1,28016
28019,1,28016
28020,1,28016
28021,1,28016
28022,1,28016
28023,1,28016
28024,1,28016
28025,1,28016
28026,1,28016
28027,1,28016
28028,1,28016
28029,1,28016
28030,1,28016
28031,1,28016
28032,1,28016
28033,1,28016
28034,1,28016
28035,1,28016
28036,1,28016
28037,1,28016
28038,1,28016
28039,1,28016
28040,1,28016
28041,1,28016
28042,1,28016
28043,1,28016
28044,1,28016
28045,1,28016
28046,1,28016
