LOC,LOCd,LOCo,x_lon,y_lat,OA
IPN0000690,Aimes Green,aimesgreen,0.019565,51.706968,E00170075
IPN0082270,Ainderby Quernhow,ainderbyquernhow,-1.468638,54.223096,E00140685
IPN0082272,Ainderby Steeple,ainderbysteeple,-1.483035,54.320421,E00140550
IPN0000694,Aingers Green,aingersgreen,1.067974,51.840843,E00111716
IPN0000695,Ainley Top,ainleytop,-1.823039,53.670517,E00056457
IPN0000696,Ainsdale,ainsdale,-3.041538,53.598046,E00035101
IPN0082275,Ainstable,ainstable,-2.739314,54.810174,E00097642
IPN0000700,Ainsworth,ainsworth,-2.356474,53.586497,E00025303
IPN0000701,Ainthorpe,ainthorpe,-0.912519,54.461592,E00141684
IPN0000702,Aintree,aintree,-2.936494,53.48284,E00035674
IPN0000704,Aipht,aipht,-3.325363,53.212019,W00001096
IPN0000705,Air Balloon Road,airballoonroad,-2.531798,51.45787,E00074127
IPN0000733,Aireborough,aireborough,-1.707949,53.872949,E00056766
IPN0000734,Airedale,airedale,-1.313877,53.723934,E00059216
IPN0000737,Aire View Crescent,aireviewcrescent,-1.787502,53.841208,E00053386
IPN0000738,Aireville Park,airevillepark,-2.029688,53.961921,E00140387
IPN0000739,Aire Way,aireway,-1.783708,53.840302,E00053386
IPN0000740,Aireworth,aireworth,-1.892134,53.872626,E00053983
IPN0082317,Airmyn,airmyn,-0.902809,53.718979,E00065963
IPN0082323,Airton,airton,-2.152028,54.02789,E00140296
IPN0000752,Aisby,aisby,-0.494903,52.937035,E00133750
IPN0000753,Aisby,aisby,-0.690927,53.426779,E00134043
IPN0000754,Aisgill,aisgill,-2.348636,54.373862,E00097634
IPN0000755,Aish,aish,-3.844486,50.431901,E00102191
IPN0000756,Aish,aish,-3.630697,50.418455,E00102077
IPN0000757,Aisholt,aisholt,-3.154305,51.114112,E00148346
IPN0082330,Aislaby,aislaby,-1.376868,54.504961,E00061872
IPN0082328,Aislaby,aislaby,-0.810151,54.261042,E00141457
IPN0082329,Aislaby,aislaby,-0.677711,54.465812,E00141827
IPN0082335,Aisthorpe,aisthorpe,-0.576994,53.3104,E00134126
IPN0000769,Aithnen,aithnen,-3.183361,52.79108,W00002500
IPN0082338,Akeld,akeld,-2.06971,55.561169,E00139328
IPN0082341,Akeley,akeley,-0.969831,52.031192,E00178323
IPN0082344,Akenham,akenham,1.133199,52.09453,E00153134
IPN0000776,Aketon,aketon,-1.465269,53.963522,E00141087
IPN0000777,Aketon Lodge,aketonlodge,-1.367076,53.693486,E00059416
IPN0000778,Akroydon,akroydon,-1.865812,53.733014,E00055247
IPN0000781,Albany,albany,-1.539542,54.908212,E00045062
IPN0000782,Albany Park,albanypark,0.120508,51.432253,E00001900
IPN0000783,Albaston,albaston,-4.225862,50.510946,E00094661
IPN0000784,Alberbury,alberbury,-2.935742,52.723798,E00147567
IPN0000786,Albert Hill,alberthill,-1.540204,54.534451,E00188177
IPN0000787,Albert Memorial,albertmemorial,-0.177672,51.502124,E00175206
IPN0000788,Albert Park,albertpark,-2.240002,53.425892,E00025695
IPN0000789,Albert Park,albertpark,-2.263032,53.49982,E00181644
IPN0000790,Albert Street,albertstreet,-3.094829,53.133005,W00001661
IPN0000791,Albert Town,alberttown,-4.987345,51.799479,W00003046
IPN0000792,Albert Village,albertvillage,-1.553174,52.760989,E00131696
